SHOOTER_ID,SHOOTER,GAME_ID,DATE,MATCHUP,LOCATION,W,FINAL_MARGIN,PERIOD,GAME_CLOCK,GAME_CLOCK_PERIOD,SHOT_CLOCK,SHOT_NUMBER,PTS_TYPE,PTS,FGM,SHOT_DIST,TOUCH_TIME,DRIBBLES,CLOSE_DEF_DIST,CLOSEST_DEFENDER_PLAYER_ID,CLOSEST_DEFENDER,SHOT_RESULT
203919,"Adams, Jordan",0041400225,"MAY 13, 2015",MEM @ GSW,A,L,-20,4,11,4,,1,2,2,1,17.9,4.1,3,4.6,203200,"Holiday, Justin",made
203919,"Adams, Jordan",0041400224,"MAY 11, 2015",MEM vs. GSW,H,L,-17,4,78,4,17.9,1,2,0,0,21.2,3.6,4,4.5,203200,"Holiday, Justin",missed
203919,"Adams, Jordan",0041400221,"MAY 03, 2015",MEM @ GSW,A,L,-15,4,9,4,,1,3,3,1,22.6,0.6,0,5.1,2738,"Iguodala, Andre",made
201167,"Afflalo, Arron",0041400175,"APR 29, 2015",POR @ MEM,A,L,-6,1,579,1,9.0,1,2,0,0,9.0,1.6,0,6.2,2216,"Randolph, Zach",missed
201167,"Afflalo, Arron",0041400175,"APR 29, 2015",POR @ MEM,A,L,-6,2,585,1,17.7,2,2,0,0,5.7,1.4,1,2.3,1713,"Carter, Vince",missed
201167,"Afflalo, Arron",0041400174,"APR 27, 2015",POR vs. MEM,H,W,7,1,531,2,10.7,1,2,0,0,9.4,4.0,2,2.9,201584,"Lee, Courtney",missed
201167,"Afflalo, Arron",0041400174,"APR 27, 2015",POR vs. MEM,H,W,7,1,357,3,16.4,2,2,0,0,16.3,0.8,0,2.8,201584,"Lee, Courtney",missed
201167,"Afflalo, Arron",0041400174,"APR 27, 2015",POR vs. MEM,H,W,7,2,596,1,1.6,3,2,0,0,20.3,1.9,2,3.1,1713,"Carter, Vince",missed
201167,"Afflalo, Arron",0041400174,"APR 27, 2015",POR vs. MEM,H,W,7,2,464,2,16.9,4,3,0,0,22.3,1.0,0,2.4,2757,"Udrih, Beno",missed
201167,"Afflalo, Arron",0041400174,"APR 27, 2015",POR vs. MEM,H,W,7,3,422,2,13.1,5,3,0,0,21.7,0.7,0,6.4,2754,"Allen, Tony",missed
201167,"Afflalo, Arron",0041400173,"APR 25, 2015",POR vs. MEM,H,L,-6,1,441,2,15.0,1,3,0,0,23.0,0.8,0,3.4,2754,"Allen, Tony",missed
201167,"Afflalo, Arron",0041400173,"APR 25, 2015",POR vs. MEM,H,L,-6,2,650,1,8.2,2,2,2,1,8.7,0.0,0,0.4,1713,"Carter, Vince",made
201167,"Afflalo, Arron",0041400173,"APR 25, 2015",POR vs. MEM,H,L,-6,2,525,2,10.6,3,2,0,0,4.7,5.5,5,0.6,201979,"Calathes, Nick",missed
201167,"Afflalo, Arron",0041400173,"APR 25, 2015",POR vs. MEM,H,L,-6,3,536,2,17.2,4,2,0,0,8.6,7.4,7,1.1,201144,"Conley, Mike",missed
201167,"Afflalo, Arron",0041400173,"APR 25, 2015",POR vs. MEM,H,L,-6,4,252,3,18.1,5,3,3,1,25.7,1.2,0,11.4,201979,"Calathes, Nick",made
201582,"Ajinca, Alexis",0041400144,"APR 25, 2015",NOP vs. GSW,H,L,-11,1,22,4,15.2,1,2,2,1,10.5,0.8,0,4.6,203105,"Ezeli, Festus",made
201582,"Ajinca, Alexis",0041400141,"APR 18, 2015",NOP @ GSW,A,L,-7,1,11,4,3.4,1,2,2,1,6.6,1.4,0,3.1,203105,"Ezeli, Festus",made
201582,"Ajinca, Alexis",0041400141,"APR 18, 2015",NOP @ GSW,A,L,-7,2,671,1,12.4,2,2,2,1,3.6,0.8,0,0.6,203105,"Ezeli, Festus",made
201582,"Ajinca, Alexis",0041400141,"APR 18, 2015",NOP @ GSW,A,L,-7,2,634,1,13.0,3,2,2,1,14.2,1.3,0,5.1,203105,"Ezeli, Festus",made
200746,"Aldridge, LaMarcus",0041400175,"APR 29, 2015",POR @ MEM,A,L,-6,1,603,1,10.0,1,2,0,0,6.9,4.8,5,1.8,201188,"Gasol, Marc",missed
200746,"Aldridge, LaMarcus",0041400175,"APR 29, 2015",POR @ MEM,A,L,-6,1,200,3,10.1,2,2,0,0,5.0,5.9,4,3.9,2216,"Randolph, Zach",missed
200746,"Aldridge, LaMarcus",0041400175,"APR 29, 2015",POR @ MEM,A,L,-6,2,678,1,15.0,3,2,0,0,19.9,0.7,0,9.1,2754,"Allen, Tony",missed
200746,"Aldridge, LaMarcus",0041400175,"APR 29, 2015",POR @ MEM,A,L,-6,2,648,1,5.7,4,2,2,1,5.1,5.8,4,2.7,201145,"Green, Jeff",made
200746,"Aldridge, LaMarcus",0041400175,"APR 29, 2015",POR @ MEM,A,L,-6,2,423,2,9.0,5,2,2,1,8.3,3.2,2,2.9,201585,"Koufos, Kosta",made
200746,"Aldridge, LaMarcus",0041400175,"APR 29, 2015",POR @ MEM,A,L,-6,2,318,3,11.2,6,2,0,0,12.4,4.0,3,4.9,201585,"Koufos, Kosta",missed
200746,"Aldridge, LaMarcus",0041400175,"APR 29, 2015",POR @ MEM,A,L,-6,2,224,3,15.7,7,2,0,0,3.1,2.0,1,3.4,201188,"Gasol, Marc",missed
200746,"Aldridge, LaMarcus",0041400175,"APR 29, 2015",POR @ MEM,A,L,-6,2,121,4,12.2,8,2,0,0,19.9,0.8,0,5.7,201188,"Gasol, Marc",missed
200746,"Aldridge, LaMarcus",0041400175,"APR 29, 2015",POR @ MEM,A,L,-6,3,640,1,5.8,9,2,0,0,5.7,2.1,2,1.1,201188,"Gasol, Marc",missed
200746,"Aldridge, LaMarcus",0041400175,"APR 29, 2015",POR @ MEM,A,L,-6,3,593,1,4.7,10,2,2,1,13.8,5.6,3,3.5,2216,"Randolph, Zach",made
200746,"Aldridge, LaMarcus",0041400175,"APR 29, 2015",POR @ MEM,A,L,-6,3,442,2,6.7,11,2,2,1,20.4,1.4,1,5.0,2216,"Randolph, Zach",made
200746,"Aldridge, LaMarcus",0041400175,"APR 29, 2015",POR @ MEM,A,L,-6,3,191,3,19.9,12,2,0,0,4.0,1.5,1,3.1,201188,"Gasol, Marc",missed
200746,"Aldridge, LaMarcus",0041400175,"APR 29, 2015",POR @ MEM,A,L,-6,3,90,4,5.7,13,2,0,0,6.7,4.2,1,2.2,201188,"Gasol, Marc",missed
200746,"Aldridge, LaMarcus",0041400175,"APR 29, 2015",POR @ MEM,A,L,-6,4,448,2,4.9,14,2,2,1,6.4,4.6,4,2.1,201585,"Koufos, Kosta",made
200746,"Aldridge, LaMarcus",0041400175,"APR 29, 2015",POR @ MEM,A,L,-6,4,418,2,11.2,15,2,0,0,7.8,6.4,5,2.2,201585,"Koufos, Kosta",missed
200746,"Aldridge, LaMarcus",0041400175,"APR 29, 2015",POR @ MEM,A,L,-6,4,255,3,10.8,16,2,0,0,1.9,0.5,0,1.1,201145,"Green, Jeff",missed
200746,"Aldridge, LaMarcus",0041400175,"APR 29, 2015",POR @ MEM,A,L,-6,4,160,4,15.3,17,2,0,0,3.4,9.2,0,2.0,201188,"Gasol, Marc",missed
200746,"Aldridge, LaMarcus",0041400175,"APR 29, 2015",POR @ MEM,A,L,-6,4,130,4,24.0,18,2,0,0,6.1,0.0,0,1.2,201188,"Gasol, Marc",missed
200746,"Aldridge, LaMarcus",0041400174,"APR 27, 2015",POR vs. MEM,H,W,7,1,689,1,7.5,1,2,0,0,14.4,3.0,2,4.5,2216,"Randolph, Zach",missed
200746,"Aldridge, LaMarcus",0041400174,"APR 27, 2015",POR vs. MEM,H,W,7,1,618,1,10.0,2,2,0,0,4.8,5.0,5,1.2,2216,"Randolph, Zach",missed
200746,"Aldridge, LaMarcus",0041400174,"APR 27, 2015",POR vs. MEM,H,W,7,1,392,2,8.0,3,2,0,0,14.9,3.6,3,3.2,2216,"Randolph, Zach",missed
200746,"Aldridge, LaMarcus",0041400174,"APR 27, 2015",POR vs. MEM,H,W,7,1,236,3,14.0,4,2,2,1,7.0,5.2,5,2.9,201145,"Green, Jeff",made
200746,"Aldridge, LaMarcus",0041400174,"APR 27, 2015",POR vs. MEM,H,W,7,1,202,3,14.5,5,3,0,0,22.7,0.8,0,6.3,201188,"Gasol, Marc",missed
200746,"Aldridge, LaMarcus",0041400174,"APR 27, 2015",POR vs. MEM,H,W,7,1,170,4,24.0,6,2,2,1,1.2,0.4,0,2.5,2216,"Randolph, Zach",made
200746,"Aldridge, LaMarcus",0041400174,"APR 27, 2015",POR vs. MEM,H,W,7,2,666,1,5.0,7,2,0,0,7.1,5.7,2,2.1,201145,"Green, Jeff",missed
200746,"Aldridge, LaMarcus",0041400174,"APR 27, 2015",POR vs. MEM,H,W,7,2,554,1,10.1,8,2,0,0,14.2,2.7,2,3.4,201585,"Koufos, Kosta",missed
